id,clean_title,author,publisher,year,language,category,tags,description,table_of_contents,cover_image_url,preview_page_count,preview_base_url,access_required,access_url,copyright_status,can_public_download
cdl-002743,万国代祷手册,万迪克 沃莫莉,,,中文,reference,手册,,,,5,,true,,待核实,false
cdl-002744,万爱之源,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002745,万物得到改造而不是毁灭：基督教末世论的含义,安希孟,,,中文,theology,基督,,,,5,,true,,待核实,false
cdl-002746,万王之王419-23,,,,中文,other,,,,,5,,true,,待核实,false
cdl-000034,丈夫，天生需要帮助者,迈克尔 珀尔,,,中文,other,,,,,5,,true,,待核实,false
cdl-002747,三一神論,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002258,三一神论,唐崇荣,,,中文,other,,,,,5,,true,,待核实,false
cdl-002748,"三位一体 伯特纳 Trinity, Loraine Boettner",,,,中文,theology,三位一体,,,,5,,true,,待核实,false
cdl-002749,三段论,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002750,三联 哈佛燕京 第一辑.中国小说源流论,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002751,三联 哈佛燕京 第一辑.再登巴比伦塔 巴赫金与对话理论,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002752,三联 哈佛燕京 第一辑.台湾的忧郁 论陈映真的写作与台湾的文学精神,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002753,三联 哈佛燕京 第一辑.因明正理门论研究,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002754,三联 哈佛燕京 第一辑.工业组织与经济增长的理论研究,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002755,三联 哈佛燕京 第一辑.法律的文化解释 增订本,,,,中文,culture-society,文化;法律,,,,5,,true,,待核实,false
cdl-002756,三联 哈佛燕京 第一辑.罗素与中国,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002757,三联 哈佛燕京 第一辑.论可能生活 修订版,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002758,三联 哈佛燕京 第七辑.20世纪上半期中国文学的现代意识,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002759,三联 哈佛燕京 第七辑.中古中国与外来文明,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002760,三联 哈佛燕京 第七辑.中国清真女寺史,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002761,三联 哈佛燕京 第七辑.无调式的辩证想象 阿多诺 否定的辩证法 的文本学解读,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002762,三联 哈佛燕京 第七辑.正义的两面,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002763,三联 哈佛燕京 第七辑.法国戏剧百年 1880-1980,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002765,三联 哈佛燕京 第三辑.古代宗教与伦理 儒家思想的根源,,,,中文,culture-society,伦理;宗教,,,,5,,true,,待核实,false
cdl-002766,三联 哈佛燕京 第三辑.爱默生和中国,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002767,三联 哈佛燕京 第三辑.语言与哲学,,,,中文,culture-society,哲学,,,,5,,true,,待核实,false
cdl-002768,三联 哈佛燕京 第三辑.门阀士族与永明文学,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002769,三联 哈佛燕京 第九辑.君子儒与诗教 先秦儒家文学思想考论,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002770,三联 哈佛燕京 第九辑.良知学的展开：王龙溪与中晚明的阳明学,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002771,三联 哈佛燕京 第九辑.都市里的村庄pdf,,,,中文,other,,,,,5,,true,,待核实,false
